"Name","Title"
"Catherine Sierra","Delivery Manager @ Klarna | MBA | MSc in Big Data and Business Analytics"
"Emma Heikensten, Phd","Sustainability | Investment | Thematic equity research | Women's empowerment advocate"
"Gilad Kilchevsky","Accounting Manager at Klarna"
"Marco Stoppa","Lead Engineer"
"Cristina Alvarez","Consumer PR and Communications Manager South Europe at Klarna"
"BorderlessCX™","Company (2,016 followers)"
"Blake Downey","Head of Partner Success @ Klarna"
"Bruno Miguel Pereira Pessoa","Key Account Manager at Oney Portugal"
"Alexandre Fernandes Ribeiro","Country Manager Spain & Portugal at Klarna | Forbes 30 Under 30"
"Nathaniel Burola","AI & Environment Research Consultant | Master of Tech Policy (MTP) Student at the RAND School of Public Policy | Fellow at The Digital Economist"
"Tommy Wallberg","Lead Developer | Platform Engineer at Klarna"
"Lucy Scurrah","Head of Global B2B Marketing at Klarna"
"Marc-André Alexandre","Business Development @ Klarna | Athletic Recruiting Consultant | Black Wealth Club"
"Patricia Tang","Go-To-Market | Technical Delivery l Project Management l Retail l Operations"
"Francesca Pavan","Marketing @Legora"
"Paris Patsogiannis","Business Intelligence Engineer @ IBM | MEng in Applied Mathematics"
"Piotr Bojnowski","Senior Software Engineer"
"📨 Glauco P.","Engineering Manager"
"Lika (Lisa) Walker","Marketing & Sales Strategy | Product & Content Marketing"
"Marco Maranzano","Founder & CEO at MFM Search LLC - marco.maranzano@mfmsearch.com"
"Jörgen Johnsson","Founder and CEO at Johnson Real Estate Venture INC"
"Patrick Ingemann Broberg","Business Controller at HDI Global"
"Katarina Wangler Björk","IMAGINE Leader | Climate, Sustain Tech & Policy | Sustainable Business Innovation Transformation & Finance | Ex-EY | MBA"
"András László Tölgyes","""Tell me how you read and I'll tell you who you are."" | Iratkozz fel a STALKER-re!"
"Arina Lopukhina","Business Analytics @PayPal | MSc. Data Science @UniMi"
"Deepkaran Singh Ahuja","Tech aficionado | Let me help you in enhancing your customer experience journey!"
"Ricardo Parra","Digital Marketing | Data Science | Product Management | Strategic Marketing | Consulting"
"Ivy Chiang","Project Manager - Data Modeling & AI | Klarna"
"Giacomo Meloni","Senior Software Engineer @ Klarna | Applied AI"
"Vy Do","Sustainability Strategy & Digital Transformation | Leveraging AI & Automation for Climate Impact | MSc Sustainability Leadership - Let's Connect!"
"Rob Sherwood","1st Line Risk Manager - Klarna UK"
"Rebecca Jerndahl Tepavac","Director | Head of Brand & Creative"
"Diego Bardari","Software Architect | Designing software with agile mindset and servant leadership"
"Thanaphoom Babparn","Product-Minded Software Engineer"
"Mathias Wikström","CEO at Doconomy"
"Chris Barnett","Global Sales Strategy @ Klarna | Business Development Expert"
"Baz Bignell","Partnerships Lead - Blue Earth Summit"
"Tara Patterson","Digital Merchandising Strategist | E-commerce Optimization | Customer Experience Advocate | 10+ Years in Retail & Site Strategy"
"Freddie Catlow","Carbon is life | Biochar is the bridge | CEO at Planboo"
"Francesco Filippi","Senior Software Engineer @ Klarna"
"Josefin Toomson","Bid Manager at Klarna"
"Benedetta Pavesi","Climate Policy & Carbon Finance | ex-McKinsey"
"Manuel Poot","Passionate Sales Leader 🚀 | Driving Revenue Growth Through Strategic Credit Management Solutions | Expert in Client Success and Long-Term Partnerships with Multinational organisations"
"Tove Thaning","Public Policy & Government Relations at Klarna. MS in European Affairs - Lund University"
"Plantmore.com - for the climate","Company (1,836 followers)"
"Alexandra Colac","Sustainability, Circularity, Social and Environmental Impact in Value Chains"
"Anna Samuelsson","Head of Impact at Milkywire"
"Milkywire","Company (8,771 followers)"
"Omar Ajruli","CEO at AJR.Agency | Silicon Valley-grade Eastern European engineers on your Slack in 48h"
"Petter William Sundelin","Senior Product Marketing Manager på Klarna"
"Alexander Farsan","Head of Climate and Environment at Klarna"
"Eleonor Larsson","People @ Qliro"
"Salah Said","Sustainability I ESG I Corporate Responsibility at Klarna I ex-Zalando | Social Innovation & Entrepreneurship | Design Thinking | BMI | LSP | Sustainable Fashion / Finance / E-commerce | Carbon Removal"
